IME SKLADBE,Instrumenti,Stil,Opus,Datum kompozicije,Vir,Avtorske pravice,Zadnja posodobitev,Glasbeni ID,Typeset
Toccata in f sharp minor,Piano/Harpsichord/Clavichord,Baroque,BWV 910,Not known,"Bach Gesellschaft Ausgabe, 1853",Public Domain,2011/Dec/19,Mutopia-2011/12/19-1814,"LilyPond, version 2.14.2"
Prelude,"Harpsichord, Piano",Baroque,BWV 924a,Not known,Bach-Gesellschaft,Creative Commons Attribution-ShareAlike 3.0,2007/Aug/22,Mutopia-2007/08/22-1028,"LilyPond, version 2.10.29"
Praeludium 2,"Harpsichord, Piano, Clavichord",Baroque,BWV 926,1720,Bach-Gesellschaft,Public Domain,2009/Feb/22,Mutopia-2009/02/22-69,"LilyPond, version 2.12.2"
Praeludium 10,"Harpsichord, Piano, Clavichord",Baroque,BWV 928,Not known,Bach-Gesellschaft,Public Domain,2013/Jan/06,Mutopia-2013/01/06-63,"LilyPond, version 2.16.1"
Petite Prélude No. 9,"Harpsichord, Piano",Baroque,BWV 928,Not known,Edition Peters Nr. 200a,Public Domain,2013/Mar/22,Mutopia-2013/03/22-493,"LilyPond, version 2.16.1"
Fugue in C major,"Harpsichord, Piano, Clavichord",Baroque,BWV 952,Not known,Unknown,Public Domain,2013/Mar/03,Mutopia-2013/03/03-254,"LilyPond, version 2.16.1"
Italian Concerto,Piano,Baroque,BWV 971,Not known,Leipzig,Creative Commons Attribution-ShareAlike 3.0,2012/Feb/05,Mutopia-2012/02/05-1826,"LilyPond, version 2.14.2"
Goldberg Variations - 15,"Harpsichord,Clavichord,Piano",Baroque,BWV 988,1741,Bach-Gesellschaft Edition 1853 Band 3,Creative Commons Attribution-ShareAlike 3.0,2014/Mar/24,Mutopia-2014/03/24-1389,"LilyPond, version 2.18.0"
Applicatio,"Harpsichord, Piano, Clavichord",Baroque,BWV 994,Not known,Bach-Gesellschaft,Public Domain,2007/Apr/22,Mutopia-2007/04/22-66,"LilyPond, version 2.10.20"
BWV 1006a - Prélude,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/13,Mutopia-2008/07/13-1476,"LilyPond, version 2.11.49"
BWV 1006a - Loure,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/13,Mutopia-2008/07/13-1477,"LilyPond, version 2.11.49"
BWV 1006a - Gavotte en Rondeau,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/17,Mutopia-2008/07/17-1480,"LilyPond, version 2.11.49"
